Parent	Child	EdgeType
subsystem805	subsystem4	Child-Parent
subsystem805	subsystem5	Child-Parent
subsystem805	subsystem8	Child-Parent
subsystem805	subsystem26	Child-Parent
subsystem805	subsystem52	Child-Parent
subsystem805	subsystem193	Child-Parent
subsystem805	subsystem269	Child-Parent
subsystem805	subsystem272	Child-Parent
subsystem805	subsystem292	Child-Parent
subsystem805	subsystem313	Child-Parent
subsystem805	subsystem384	Child-Parent
subsystem805	subsystem389	Child-Parent
subsystem805	subsystem391	Child-Parent
subsystem805	subsystem396	Child-Parent
subsystem805	subsystem398	Child-Parent
subsystem805	subsystem401	Child-Parent
subsystem805	subsystem405	Child-Parent
subsystem805	subsystem407	Child-Parent
subsystem805	subsystem408	Child-Parent
subsystem805	subsystem410	Child-Parent
subsystem805	subsystem413	Child-Parent
subsystem805	subsystem414	Child-Parent
subsystem805	subsystem451	Child-Parent
subsystem805	subsystem456	Child-Parent
subsystem805	subsystem461	Child-Parent
subsystem805	subsystem462	Child-Parent
subsystem805	subsystem463	Child-Parent
subsystem292	ABL1	Gene-Term
subsystem401	ACD	Gene-Term
subsystem401	ACTL6A	Gene-Term
subsystem401	ACTR5	Gene-Term
subsystem401	ACTR8	Gene-Term
subsystem292	ALKBH1	Gene-Term
subsystem0	ALKBH2	Gene-Term
subsystem0	ALKBH3	Gene-Term
subsystem805	AMN1	Gene-Term
subsystem292	ANKRD28	Gene-Term
subsystem292	ANKRD44	Gene-Term
subsystem292	ANKRD52	Gene-Term
subsystem1	APEX1	Gene-Term
subsystem1	APEX2	Gene-Term
subsystem414	APITD1	Gene-Term
subsystem292	APLF	Gene-Term
subsystem292	APTX	Gene-Term
subsystem401	ARID1A	Gene-Term
subsystem401	ARID1B	Gene-Term
subsystem401	ARID2	Gene-Term
subsystem805	ASF1A	Gene-Term
subsystem805	ASF1B	Gene-Term
subsystem805	ATF2	Gene-Term
subsystem292	ATM	Gene-Term
subsystem292	ATR	Gene-Term
subsystem149	ATR	Gene-Term
subsystem292	ATRIP	Gene-Term
subsystem401	ATRX	Gene-Term
subsystem805	ATXN3	Gene-Term
subsystem805	BAP1	Gene-Term
subsystem405	BARD1	Gene-Term
subsystem313	BAZ1A	Gene-Term
subsystem805	BAZ1B	Gene-Term
subsystem805	BCAS2	Gene-Term
subsystem401	BLM	Gene-Term
subsystem134	BRCA1	Gene-Term
subsystem805	BRCA2	Gene-Term
subsystem805	BRCC3	Gene-Term
subsystem401	BRD7	Gene-Term
subsystem805	BRE	Gene-Term
subsystem805	BRIP1	Gene-Term
subsystem805	BTG2	Gene-Term
subsystem805	CCDC98	Gene-Term
subsystem292	CCNA1	Gene-Term
subsystem805	CCNA2	Gene-Term
subsystem292	CCNB1	Gene-Term
subsystem805	CCNB2	Gene-Term
subsystem805	CCNB3	Gene-Term
subsystem292	CCND1	Gene-Term
subsystem149	CCND2	Gene-Term
subsystem292	CCND3	Gene-Term
subsystem292	CCNE1	Gene-Term
subsystem2	CCNH	Gene-Term
subsystem805	CCNO	Gene-Term
subsystem94	CDC25A	Gene-Term
subsystem12	CDC25B	Gene-Term
subsystem805	CDC5L	Gene-Term
subsystem134	CDK2	Gene-Term
subsystem292	CDK4	Gene-Term
subsystem805	CDK7	Gene-Term
subsystem134	CDKN1A	Gene-Term
subsystem292	CDKN2A	Gene-Term
subsystem292	CDKN2D	Gene-Term
subsystem292	CETN2	Gene-Term
subsystem805	CHAF1A	Gene-Term
subsystem292	CHEK1	Gene-Term
subsystem292	CHEK2	Gene-Term
subsystem149	CHEK2	Gene-Term
subsystem401	CHRAC1	Gene-Term
subsystem805	CIB1	Gene-Term
subsystem805	CLK2	Gene-Term
subsystem292	CLSPN	Gene-Term
subsystem805	CNOT7	Gene-Term
subsystem292	COPS2	Gene-Term
subsystem95	COPS3	Gene-Term
subsystem95	COPS4	Gene-Term
subsystem292	COPS5	Gene-Term
subsystem292	COPS6	Gene-Term
subsystem292	COPS7A	Gene-Term
subsystem292	COPS7B	Gene-Term
subsystem292	COPS8	Gene-Term
subsystem4	CRY1	Gene-Term
subsystem4	CRY2	Gene-Term
subsystem805	CSNK1D	Gene-Term
subsystem805	CSNK1E	Gene-Term
subsystem401	CTC1	Gene-Term
subsystem805	CUL3	Gene-Term
subsystem292	CUL4A	Gene-Term
subsystem157	CUL4A	Gene-Term
subsystem805	CUL5	Gene-Term
subsystem401	DAXX	Gene-Term
subsystem805	DCLRE1A	Gene-Term
subsystem401	DCLRE1B	Gene-Term
subsystem401	DCLRE1C	Gene-Term
subsystem391	DCLRE1C	Gene-Term
subsystem292	DDB1	Gene-Term
subsystem292	DDB2	Gene-Term
subsystem805	DDX11	Gene-Term
subsystem401	DKC1	Gene-Term
subsystem805	DLGAP5	Gene-Term
subsystem805	DMC1	Gene-Term
subsystem407	DNA2	Gene-Term
subsystem805	DNMT1	Gene-Term
subsystem401	DNTT	Gene-Term
subsystem391	DNTT	Gene-Term
subsystem292	DUT	Gene-Term
subsystem805	EID3	Gene-Term
subsystem805	EME1	Gene-Term
subsystem805	EME2	Gene-Term
subsystem805	ERCC1	Gene-Term
subsystem805	ERCC2	Gene-Term
subsystem805	ERCC3	Gene-Term
subsystem805	ERCC4	Gene-Term
subsystem805	ERCC5	Gene-Term
subsystem805	ERCC6	Gene-Term
subsystem805	ERCC8	Gene-Term
subsystem26	EXO1	Gene-Term
subsystem292	EYA3	Gene-Term
subsystem414	FAAP100	Gene-Term
subsystem408	FAAP100	Gene-Term
subsystem405	FAAP24	Gene-Term
subsystem292	FAM175A	Gene-Term
subsystem805	FAN1	Gene-Term
subsystem805	FANCA	Gene-Term
subsystem805	FANCB	Gene-Term
subsystem805	FANCC	Gene-Term
subsystem805	FANCD2	Gene-Term
subsystem413	FANCE	Gene-Term
subsystem805	FANCG	Gene-Term
subsystem805	FANCI	Gene-Term
subsystem408	FANCL	Gene-Term
subsystem805	FANCM	Gene-Term
subsystem805	FBXO18	Gene-Term
subsystem292	FEN1	Gene-Term
subsystem116	GADD45A	Gene-Term
subsystem94	GADD45G	Gene-Term
subsystem401	GAR1	Gene-Term
subsystem805	GEN1	Gene-Term
subsystem292	GPS1	Gene-Term
subsystem805	GTF2H1	Gene-Term
subsystem461	GTF2H2	Gene-Term
subsystem805	GTF2H3	Gene-Term
subsystem462	GTF2H4	Gene-Term
subsystem805	GTF2H5	Gene-Term
subsystem805	H2AFX	Gene-Term
subsystem410	HELQ	Gene-Term
subsystem805	HES1	Gene-Term
subsystem805	HFM1	Gene-Term
subsystem805	HINFP	Gene-Term
subsystem49	HLTF	Gene-Term
subsystem18	HMGB1	Gene-Term
subsystem26	HMGB1	Gene-Term
subsystem292	HMGB2	Gene-Term
subsystem34	HUS1	Gene-Term
subsystem35	HUS1B	Gene-Term
subsystem805	IGHMBP2	Gene-Term
subsystem401	INO80	Gene-Term
subsystem401	INO80C	Gene-Term
subsystem401	INO80D	Gene-Term
subsystem401	INO80E	Gene-Term
subsystem805	IP6K3	Gene-Term
subsystem116	KAT2A	Gene-Term
subsystem410	KAT5	Gene-Term
subsystem33	LIG1	Gene-Term
subsystem28	LIG1	Gene-Term
subsystem15	LIG3	Gene-Term
subsystem10	LIG3	Gene-Term
subsystem401	LIG4	Gene-Term
subsystem292	MAD2L2	Gene-Term
subsystem164	MBD4	Gene-Term
subsystem401	MCRS1	Gene-Term
subsystem286	MDC1	Gene-Term
subsystem58	MDM2	Gene-Term
subsystem292	MDM4	Gene-Term
subsystem805	MEN1	Gene-Term
subsystem28	MGMT	Gene-Term
subsystem29	MLH1	Gene-Term
subsystem36	MLH3	Gene-Term
subsystem805	MMS19	Gene-Term
subsystem5	MMS22L	Gene-Term
subsystem805	MNAT1	Gene-Term
subsystem292	MPG	Gene-Term
subsystem154	MPG	Gene-Term
subsystem805	MPLKIP	Gene-Term
subsystem6	MRE11A	Gene-Term
subsystem16	MSH2	Gene-Term
subsystem11	MSH3	Gene-Term
subsystem16	MSH3	Gene-Term
subsystem7	MSH4	Gene-Term
subsystem7	MSH5	Gene-Term
subsystem11	MSH6	Gene-Term
subsystem805	MTOR	Gene-Term
subsystem805	MUS81	Gene-Term
subsystem292	MUTYH	Gene-Term
subsystem401	MVP	Gene-Term
subsystem805	MYBBP1A	Gene-Term
subsystem805	NABP1	Gene-Term
subsystem805	NABP2	Gene-Term
subsystem6	NBN	Gene-Term
subsystem292	NCAPD2	Gene-Term
subsystem292	NCAPD3	Gene-Term
subsystem292	NCAPG	Gene-Term
subsystem193	NCAPH	Gene-Term
subsystem292	NCAPH2	Gene-Term
subsystem292	NEIL1	Gene-Term
subsystem292	NEIL2	Gene-Term
subsystem292	NEIL3	Gene-Term
subsystem805	NFATC2IP	Gene-Term
subsystem401	NFRKB	Gene-Term
subsystem401	NHEJ1	Gene-Term
subsystem391	NHEJ1	Gene-Term
subsystem401	NHP2	Gene-Term
subsystem401	NOP10	Gene-Term
subsystem292	NPM1	Gene-Term
subsystem805	NSMCE1	Gene-Term
subsystem805	NSMCE2	Gene-Term
subsystem805	NSMCE4A	Gene-Term
subsystem154	NTHL1	Gene-Term
subsystem292	NUDT1	Gene-Term
subsystem401	OBFC1	Gene-Term
subsystem805	OBFC2B	Gene-Term
subsystem292	OGG1	Gene-Term
subsystem805	PALB2	Gene-Term
subsystem805	PAPD7	Gene-Term
subsystem292	PARG	Gene-Term
subsystem37	PARP1	Gene-Term
subsystem280	PARP3	Gene-Term
subsystem292	PARP3	Gene-Term
subsystem292	PARP4	Gene-Term
subsystem805	PARPBP	Gene-Term
subsystem805	PAXIP1	Gene-Term
subsystem401	PBRM1	Gene-Term
subsystem18	PCNA	Gene-Term
subsystem292	PDS5A	Gene-Term
subsystem292	PDS5B	Gene-Term
subsystem805	PER1	Gene-Term
subsystem805	PER2	Gene-Term
subsystem805	PER3	Gene-Term
subsystem805	PIAS1	Gene-Term
subsystem805	PIAS2	Gene-Term
subsystem805	PIAS3	Gene-Term
subsystem805	PIAS4	Gene-Term
subsystem38	PIF1	Gene-Term
subsystem33	PIF1	Gene-Term
subsystem805	PINX1	Gene-Term
subsystem805	PLRG1	Gene-Term
subsystem36	PMS1	Gene-Term
subsystem29	PMS2	Gene-Term
subsystem805	PMS2P5	Gene-Term
subsystem280	PNKP	Gene-Term
subsystem2	POLA1	Gene-Term
subsystem15	POLB	Gene-Term
subsystem292	POLD1	Gene-Term
subsystem292	POLD2	Gene-Term
subsystem292	POLD3	Gene-Term
subsystem292	POLD4	Gene-Term
subsystem39	POLE	Gene-Term
subsystem39	POLE2	Gene-Term
subsystem39	POLE3	Gene-Term
subsystem38	POLE4	Gene-Term
subsystem43	POLE4	Gene-Term
subsystem805	POLG	Gene-Term
subsystem805	POLG2	Gene-Term
subsystem292	POLH	Gene-Term
subsystem96	POLI	Gene-Term
subsystem96	POLK	Gene-Term
subsystem292	POLL	Gene-Term
subsystem401	POLM	Gene-Term
subsystem401	POLN	Gene-Term
subsystem269	POLN	Gene-Term
subsystem269	POLQ	Gene-Term
subsystem805	POLR2A	Gene-Term
subsystem805	POLR2B	Gene-Term
subsystem463	POLR2C	Gene-Term
subsystem462	POLR2D	Gene-Term
subsystem805	POLR2E	Gene-Term
subsystem805	POLR2F	Gene-Term
subsystem805	POLR2G	Gene-Term
subsystem805	POLR2H	Gene-Term
subsystem463	POLR2I	Gene-Term
subsystem805	POLR2J	Gene-Term
subsystem805	POLR2K	Gene-Term
subsystem805	POLR2L	Gene-Term
subsystem401	POT1	Gene-Term
subsystem805	PPP4C	Gene-Term
subsystem805	PPP4R1	Gene-Term
subsystem805	PPP4R2	Gene-Term
subsystem805	PPP4R4	Gene-Term
subsystem292	PPP6C	Gene-Term
subsystem292	PPP6R1	Gene-Term
subsystem292	PPP6R2	Gene-Term
subsystem292	PPP6R3	Gene-Term
subsystem805	PRKCG	Gene-Term
subsystem286	PRKDC	Gene-Term
subsystem805	PRMT6	Gene-Term
subsystem34	RAD1	Gene-Term
subsystem292	RAD17	Gene-Term
subsystem42	RAD17	Gene-Term
subsystem292	RAD18	Gene-Term
subsystem157	RAD18	Gene-Term
subsystem193	RAD21	Gene-Term
subsystem805	RAD23A	Gene-Term
subsystem292	RAD23B	Gene-Term
subsystem12	RAD50	Gene-Term
subsystem805	RAD51	Gene-Term
subsystem805	RAD51B	Gene-Term
subsystem805	RAD51C	Gene-Term
subsystem805	RAD51D	Gene-Term
subsystem805	RAD52	Gene-Term
subsystem805	RAD54B	Gene-Term
subsystem805	RAD54L	Gene-Term
subsystem35	RAD9A	Gene-Term
subsystem43	RAD9B	Gene-Term
subsystem805	RASSF7	Gene-Term
subsystem292	RBBP8	Gene-Term
subsystem149	RBBP8	Gene-Term
subsystem157	RBX1	Gene-Term
subsystem805	RDM1	Gene-Term
subsystem805	RECQL	Gene-Term
subsystem805	RECQL4	Gene-Term
subsystem805	RECQL5	Gene-Term
subsystem292	REV1	Gene-Term
subsystem292	REV3L	Gene-Term
subsystem292	RFC1	Gene-Term
subsystem96	RFC1	Gene-Term
subsystem292	RFC2	Gene-Term
subsystem42	RFC2	Gene-Term
subsystem292	RFC3	Gene-Term
subsystem96	RFC3	Gene-Term
subsystem292	RFC4	Gene-Term
subsystem292	RFC5	Gene-Term
subsystem805	RIF1	Gene-Term
subsystem805	RMI2	Gene-Term
subsystem58	RNF168	Gene-Term
subsystem292	RNF168	Gene-Term
subsystem292	RNF4	Gene-Term
subsystem157	RNF4	Gene-Term
subsystem292	RNF8	Gene-Term
subsystem40	RPA1	Gene-Term
subsystem40	RPA2	Gene-Term
subsystem40	RPA3	Gene-Term
subsystem40	RPA4	Gene-Term
subsystem805	RPAIN	Gene-Term
subsystem805	RPS27L	Gene-Term
subsystem292	RRM1	Gene-Term
subsystem52	RRM1	Gene-Term
subsystem292	RRM2	Gene-Term
subsystem52	RRM2B	Gene-Term
subsystem805	RTEL1	Gene-Term
subsystem401	RUVBL1	Gene-Term
subsystem401	RUVBL2	Gene-Term
subsystem805	SETMAR	Gene-Term
subsystem805	SETX	Gene-Term
subsystem805	SFR1	Gene-Term
subsystem805	SHFM1	Gene-Term
subsystem269	SHPRH	Gene-Term
subsystem805	SIRT1	Gene-Term
subsystem805	SLX1A	Gene-Term
subsystem805	SLX1B	Gene-Term
subsystem805	SLX4	Gene-Term
subsystem401	SMARCA2	Gene-Term
subsystem401	SMARCA4	Gene-Term
subsystem401	SMARCA5	Gene-Term
subsystem292	SMARCAD1	Gene-Term
subsystem805	SMARCAL1	Gene-Term
subsystem401	SMARCB1	Gene-Term
subsystem401	SMARCC1	Gene-Term
subsystem401	SMARCC2	Gene-Term
subsystem313	SMARCD1	Gene-Term
subsystem401	SMARCE1	Gene-Term
subsystem292	SMC1A	Gene-Term
subsystem194	SMC1B	Gene-Term
subsystem292	SMC2	Gene-Term
subsystem292	SMC3	Gene-Term
subsystem194	SMC4	Gene-Term
subsystem805	SMC5	Gene-Term
subsystem805	SMC6	Gene-Term
subsystem805	SMEK2	Gene-Term
subsystem401	SMG6	Gene-Term
subsystem292	SMUG1	Gene-Term
subsystem805	SOD1	Gene-Term
subsystem805	SPO11	Gene-Term
subsystem292	STAG1	Gene-Term
subsystem292	STAG2	Gene-Term
subsystem413	STRA13	Gene-Term
subsystem407	STRA13	Gene-Term
subsystem31	SUMO1	Gene-Term
subsystem40	SUMO2	Gene-Term
subsystem40	SUMO3	Gene-Term
subsystem31	SUMO4	Gene-Term
subsystem805	SWI5	Gene-Term
subsystem805	TADA3	Gene-Term
subsystem805	TCEA1	Gene-Term
subsystem461	TCEB1	Gene-Term
subsystem805	TCEB2	Gene-Term
subsystem805	TCEB3	Gene-Term
subsystem164	TDG	Gene-Term
subsystem292	TDP1	Gene-Term
subsystem401	TELO2	Gene-Term
subsystem401	TEN1	Gene-Term
subsystem401	TEP1	Gene-Term
subsystem401	TERF1	Gene-Term
subsystem401	TERF2	Gene-Term
subsystem401	TERF2IP	Gene-Term
subsystem401	TERT	Gene-Term
subsystem401	TFPT	Gene-Term
subsystem8	TIMELESS	Gene-Term
subsystem401	TINF2	Gene-Term
subsystem8	TIPIN	Gene-Term
subsystem401	TNKS	Gene-Term
subsystem805	TNP1	Gene-Term
subsystem5	TONSL	Gene-Term
subsystem33	TOP1	Gene-Term
subsystem43	TOP1	Gene-Term
subsystem43	TOP2A	Gene-Term
subsystem38	TOP2B	Gene-Term
subsystem805	TOP3A	Gene-Term
subsystem805	TOP3B	Gene-Term
subsystem292	TOPBP1	Gene-Term
subsystem134	TP53	Gene-Term
subsystem401	TP53BP1	Gene-Term
subsystem292	TP73	Gene-Term
subsystem134	TP73	Gene-Term
subsystem805	TREX1	Gene-Term
subsystem805	TREX2	Gene-Term
subsystem805	TRIM28	Gene-Term
subsystem805	TTI1	Gene-Term
subsystem805	TTI2	Gene-Term
subsystem292	TYMS	Gene-Term
subsystem28	UBA1	Gene-Term
subsystem28	UBA2	Gene-Term
subsystem36	UBB	Gene-Term
subsystem37	UBC	Gene-Term
subsystem37	UBD	Gene-Term
subsystem36	UBD	Gene-Term
subsystem49	UBE2A	Gene-Term
subsystem14	UBE2B	Gene-Term
subsystem36	UBE2I	Gene-Term
subsystem14	UBE2N	Gene-Term
subsystem805	UBE2T	Gene-Term
subsystem805	UBE2V1	Gene-Term
subsystem14	UBE2V2	Gene-Term
subsystem805	UIMC1	Gene-Term
subsystem292	UNG	Gene-Term
subsystem805	UPF1	Gene-Term
subsystem269	USP1	Gene-Term
subsystem805	UVRAG	Gene-Term
subsystem805	UVSSA	Gene-Term
subsystem805	VCP	Gene-Term
subsystem401	WDR48	Gene-Term
subsystem12	WEE1	Gene-Term
subsystem401	WRAP53	Gene-Term
subsystem292	WRN	Gene-Term
subsystem805	XAB2	Gene-Term
subsystem805	XPA	Gene-Term
subsystem292	XPC	Gene-Term
subsystem10	XRCC1	Gene-Term
subsystem391	XRCC2	Gene-Term
subsystem401	XRCC3	Gene-Term
subsystem401	XRCC4	Gene-Term
subsystem391	XRCC4	Gene-Term
subsystem401	XRCC5	Gene-Term
subsystem391	XRCC5	Gene-Term
subsystem391	XRCC6	Gene-Term
subsystem805	XRCC6BP1	Gene-Term
subsystem805	YBX1	Gene-Term
subsystem805	ZRANB3	Gene-Term
subsystem805	ZSWIM7	Gene-Term
