Parent	Child	EdgeType
S:475	195	Gene-Term
S:487	196	Gene-Term
S:482	197	Gene-Term
S:479	198	Gene-Term
S:481	199	Gene-Term
S:482	2	Gene-Term
S:490	20	Gene-Term
S:481	200	Gene-Term
S:474	201	Gene-Term
S:487	202	Gene-Term
S:487	203	Gene-Term
S:487	204	Gene-Term
S:475	205	Gene-Term
S:465	206	Gene-Term
S:481	207	Gene-Term
S:492	208	Gene-Term
S:475	209	Gene-Term
S:490	21	Gene-Term
S:484	210	Gene-Term
S:490	211	Gene-Term
S:479	212	Gene-Term
S:487	212	Gene-Term
S:477	212	Gene-Term
S:458	213	Gene-Term
S:477	213	Gene-Term
S:479	214	Gene-Term
S:477	214	Gene-Term
S:477	215	Gene-Term
S:481	215	Gene-Term
S:490	216	Gene-Term
S:487	217	Gene-Term
S:482	218	Gene-Term
S:457	219	Gene-Term
S:471	219	Gene-Term
S:478	219	Gene-Term
S:470	219	Gene-Term
S:490	22	Gene-Term
S:476	220	Gene-Term
S:476	221	Gene-Term
S:488	222	Gene-Term
S:488	223	Gene-Term
S:488	224	Gene-Term
S:490	225	Gene-Term
S:490	226	Gene-Term
S:490	227	Gene-Term
S:490	228	Gene-Term
S:453	229	Gene-Term
S:479	23	Gene-Term
S:473	23	Gene-Term
S:472	23	Gene-Term
S:490	230	Gene-Term
S:490	231	Gene-Term
S:456	232	Gene-Term
S:456	233	Gene-Term
S:490	234	Gene-Term
S:479	235	Gene-Term
S:477	235	Gene-Term
S:444	236	Gene-Term
S:479	237	Gene-Term
S:445	237	Gene-Term
S:470	238	Gene-Term
S:471	238	Gene-Term
S:470	239	Gene-Term
S:471	239	Gene-Term
S:472	24	Gene-Term
S:470	240	Gene-Term
S:471	240	Gene-Term
S:470	241	Gene-Term
S:471	241	Gene-Term
S:477	242	Gene-Term
S:451	242	Gene-Term
S:451	243	Gene-Term
S:482	244	Gene-Term
S:451	244	Gene-Term
S:451	245	Gene-Term
S:490	246	Gene-Term
S:490	247	Gene-Term
S:463	248	Gene-Term
S:477	248	Gene-Term
S:463	249	Gene-Term
S:472	25	Gene-Term
S:463	250	Gene-Term
S:489	250	Gene-Term
S:479	251	Gene-Term
S:477	251	Gene-Term
S:479	252	Gene-Term
S:478	252	Gene-Term
S:478	253	Gene-Term
S:478	254	Gene-Term
S:485	255	Gene-Term
S:485	256	Gene-Term
S:485	257	Gene-Term
S:485	258	Gene-Term
S:485	259	Gene-Term
S:481	26	Gene-Term
S:485	260	Gene-Term
S:485	261	Gene-Term
S:485	262	Gene-Term
S:485	263	Gene-Term
S:485	264	Gene-Term
S:485	265	Gene-Term
S:485	266	Gene-Term
S:481	267	Gene-Term
S:487	268	Gene-Term
S:487	269	Gene-Term
S:490	27	Gene-Term
S:487	270	Gene-Term
S:487	271	Gene-Term
S:474	272	Gene-Term
S:474	273	Gene-Term
S:474	274	Gene-Term
S:474	275	Gene-Term
S:490	276	Gene-Term
S:479	277	Gene-Term
S:490	278	Gene-Term
S:460	279	Gene-Term
S:490	28	Gene-Term
S:461	280	Gene-Term
S:462	281	Gene-Term
S:464	281	Gene-Term
S:476	282	Gene-Term
S:485	283	Gene-Term
S:466	284	Gene-Term
S:448	285	Gene-Term
S:479	285	Gene-Term
S:487	285	Gene-Term
S:473	285	Gene-Term
S:487	286	Gene-Term
S:484	286	Gene-Term
S:487	287	Gene-Term
S:487	288	Gene-Term
S:484	288	Gene-Term
S:487	289	Gene-Term
S:484	29	Gene-Term
S:487	290	Gene-Term
S:487	291	Gene-Term
S:487	292	Gene-Term
S:460	293	Gene-Term
S:460	294	Gene-Term
S:490	295	Gene-Term
S:472	296	Gene-Term
S:466	297	Gene-Term
S:487	298	Gene-Term
S:487	299	Gene-Term
S:482	3	Gene-Term
S:482	30	Gene-Term
S:487	300	Gene-Term
S:487	301	Gene-Term
S:463	302	Gene-Term
S:463	303	Gene-Term
S:459	304	Gene-Term
S:461	305	Gene-Term
S:459	305	Gene-Term
S:461	306	Gene-Term
S:459	306	Gene-Term
S:461	307	Gene-Term
S:459	307	Gene-Term
S:461	308	Gene-Term
S:459	308	Gene-Term
S:490	309	Gene-Term
S:490	31	Gene-Term
S:487	310	Gene-Term
S:484	310	Gene-Term
S:479	311	Gene-Term
S:464	311	Gene-Term
S:464	312	Gene-Term
S:479	313	Gene-Term
S:464	313	Gene-Term
S:455	314	Gene-Term
S:455	315	Gene-Term
S:455	316	Gene-Term
S:455	317	Gene-Term
S:490	318	Gene-Term
S:490	319	Gene-Term
S:490	32	Gene-Term
S:465	320	Gene-Term
S:465	321	Gene-Term
S:465	322	Gene-Term
S:490	323	Gene-Term
S:482	324	Gene-Term
S:482	325	Gene-Term
S:490	326	Gene-Term
S:490	327	Gene-Term
S:490	328	Gene-Term
S:487	329	Gene-Term
S:487	33	Gene-Term
S:484	33	Gene-Term
S:481	33	Gene-Term
S:478	330	Gene-Term
S:490	331	Gene-Term
S:487	332	Gene-Term
S:490	333	Gene-Term
S:487	334	Gene-Term
S:482	335	Gene-Term
S:482	336	Gene-Term
S:482	337	Gene-Term
S:474	338	Gene-Term
S:490	339	Gene-Term
S:468	34	Gene-Term
S:487	34	Gene-Term
S:484	34	Gene-Term
S:472	34	Gene-Term
S:482	340	Gene-Term
S:482	341	Gene-Term
S:482	342	Gene-Term
S:482	343	Gene-Term
S:482	344	Gene-Term
S:476	345	Gene-Term
S:476	346	Gene-Term
S:476	347	Gene-Term
S:476	348	Gene-Term
S:476	349	Gene-Term
S:487	35	Gene-Term
S:484	35	Gene-Term
S:487	350	Gene-Term
S:487	351	Gene-Term
S:490	352	Gene-Term
S:481	353	Gene-Term
S:475	354	Gene-Term
S:490	355	Gene-Term
S:487	356	Gene-Term
S:476	357	Gene-Term
S:476	358	Gene-Term
S:484	359	Gene-Term
S:488	36	Gene-Term
S:454	360	Gene-Term
S:454	361	Gene-Term
S:454	362	Gene-Term
S:454	363	Gene-Term
S:490	364	Gene-Term
S:490	365	Gene-Term
S:490	366	Gene-Term
S:485	367	Gene-Term
S:485	368	Gene-Term
S:485	369	Gene-Term
S:482	37	Gene-Term
S:475	370	Gene-Term
S:477	371	Gene-Term
S:493	371	Gene-Term
S:484	372	Gene-Term
S:481	372	Gene-Term
S:481	373	Gene-Term
S:481	374	Gene-Term
S:481	375	Gene-Term
S:481	376	Gene-Term
S:481	377	Gene-Term
S:481	378	Gene-Term
S:482	379	Gene-Term
S:484	38	Gene-Term
S:442	380	Gene-Term
S:481	381	Gene-Term
S:442	382	Gene-Term
S:481	383	Gene-Term
S:490	384	Gene-Term
S:443	385	Gene-Term
S:453	386	Gene-Term
S:453	387	Gene-Term
S:453	388	Gene-Term
S:487	389	Gene-Term
S:484	389	Gene-Term
S:484	39	Gene-Term
S:487	390	Gene-Term
S:484	390	Gene-Term
S:468	391	Gene-Term
S:469	392	Gene-Term
S:479	393	Gene-Term
S:488	393	Gene-Term
S:468	394	Gene-Term
S:469	394	Gene-Term
S:490	395	Gene-Term
S:490	396	Gene-Term
S:490	397	Gene-Term
S:490	398	Gene-Term
S:490	399	Gene-Term
S:482	4	Gene-Term
S:490	40	Gene-Term
S:465	400	Gene-Term
S:437	401	Gene-Term
S:437	402	Gene-Term
S:447	403	Gene-Term
S:447	404	Gene-Term
S:447	405	Gene-Term
S:462	406	Gene-Term
S:446	407	Gene-Term
S:452	408	Gene-Term
S:446	409	Gene-Term
S:484	41	Gene-Term
S:484	410	Gene-Term
S:490	411	Gene-Term
S:446	412	Gene-Term
S:490	412	Gene-Term
S:487	413	Gene-Term
S:475	414	Gene-Term
S:490	415	Gene-Term
S:484	416	Gene-Term
S:478	416	Gene-Term
S:490	417	Gene-Term
S:485	418	Gene-Term
S:490	419	Gene-Term
S:473	42	Gene-Term
S:484	420	Gene-Term
S:478	420	Gene-Term
S:473	421	Gene-Term
S:438	421	Gene-Term
S:481	422	Gene-Term
S:487	423	Gene-Term
S:470	423	Gene-Term
S:485	424	Gene-Term
S:485	425	Gene-Term
S:466	426	Gene-Term
S:458	427	Gene-Term
S:485	427	Gene-Term
S:445	427	Gene-Term
S:479	428	Gene-Term
S:479	429	Gene-Term
S:488	43	Gene-Term
S:479	430	Gene-Term
S:479	431	Gene-Term
S:479	432	Gene-Term
S:490	433	Gene-Term
S:490	434	Gene-Term
S:490	435	Gene-Term
S:490	436	Gene-Term
S:473	44	Gene-Term
S:488	45	Gene-Term
S:488	46	Gene-Term
S:469	47	Gene-Term
S:472	47	Gene-Term
S:472	48	Gene-Term
S:472	49	Gene-Term
S:477	5	Gene-Term
S:469	50	Gene-Term
S:473	51	Gene-Term
S:444	51	Gene-Term
S:490	52	Gene-Term
S:468	53	Gene-Term
S:438	54	Gene-Term
S:490	55	Gene-Term
S:473	56	Gene-Term
S:469	56	Gene-Term
S:473	57	Gene-Term
S:469	57	Gene-Term
S:485	58	Gene-Term
S:488	59	Gene-Term
S:469	59	Gene-Term
S:450	6	Gene-Term
S:469	60	Gene-Term
S:473	61	Gene-Term
S:466	62	Gene-Term
S:490	63	Gene-Term
S:473	64	Gene-Term
S:472	64	Gene-Term
S:473	65	Gene-Term
S:472	65	Gene-Term
S:482	66	Gene-Term
S:490	67	Gene-Term
S:490	68	Gene-Term
S:468	69	Gene-Term
S:450	7	Gene-Term
S:490	70	Gene-Term
S:467	71	Gene-Term
S:467	72	Gene-Term
S:467	73	Gene-Term
S:467	74	Gene-Term
S:467	75	Gene-Term
S:467	76	Gene-Term
S:467	77	Gene-Term
S:467	78	Gene-Term
S:440	79	Gene-Term
S:488	8	Gene-Term
S:440	80	Gene-Term
S:490	81	Gene-Term
S:490	82	Gene-Term
S:481	83	Gene-Term
S:485	84	Gene-Term
S:466	85	Gene-Term
S:485	86	Gene-Term
S:481	87	Gene-Term
S:490	88	Gene-Term
S:481	89	Gene-Term
S:474	9	Gene-Term
S:479	90	Gene-Term
S:466	91	Gene-Term
S:466	92	Gene-Term
S:490	93	Gene-Term
S:481	94	Gene-Term
S:490	95	Gene-Term
S:490	96	Gene-Term
S:484	97	Gene-Term
S:490	98	Gene-Term
S:479	99	Gene-Term
